Lat_Lon,Crime_Rating
"(40.710404392, -73.995178867)",11.6
"(40.710404392000044, -73.99517886699994)",17.7
"(40.710434682, -74.000950093)",76.1
"(40.71043468200002, -74.00095009299997)",14.1
"(40.710472336, -73.986623011)",21.4
"(40.71047233600007, -73.98662301099995)",7.1
"(40.710560638, -74.008405812)",23.4
"(40.71056063800006, -74.00840581199996)",8.5
"(40.710566286, -73.994140032)",119.4
"(40.71056628600007, -73.99414003199998)",7.1
"(40.710588156, -74.007377813)",14.0
"(40.710590245, -73.98566352)",115.4
"(40.71059024500005, -73.98566351999993)",14.1
"(40.710607547, -74.003695041)",4.5
"(40.710614924, -74.014526945)",4.5
"(40.710656639, -74.009267905)",7.1
"(40.710659311, -73.989865694)",42.1
"(40.71065931100002, -73.98986569399995)",20.0
"(40.710691678, -73.984704027)",97.3
"(40.710691678000046, -73.98470402699996)",4.5
"(40.710695314, -74.005347067)",4.5
"(40.71069531400008, -74.00534706699995)",7.1
"(40.71071089100008, -73.98470402299995)",16.2
"(40.710782137, -73.983841925)",4.5
"(40.71078213700008, -73.98384192499998)",4.5
"(40.710783222, -73.996632474)",136.9
"(40.71078322200003, -73.99663247399997)",14.2
"(40.710810668, -74.003413704)",21.3
"(40.71081066800008, -74.00341370399997)",4.5
"(40.710813201, -74.007760185)",32.4
"(40.710821539, -74.006039628)",7.0
"(40.710823224, -73.983253968)",16.8
"(40.71082322400008, -73.98325396799999)",25.8
"(40.710831552, -74.016085232)",21.4
"(40.71083155200006, -74.01608523199997)",7.1
"(40.710838164, -74.000632678)",49.4
"(40.71083816400005, -74.000632678)",15.6
"(40.710840895, -74.0018735)",8.5
"(40.710867028, -73.982500085)",7.0
"(40.710886673, -74.014382722)",35.9
"(40.71088667300006, -74.01438272199994)",23.8
"(40.71089545, -74.009062336)",62.7
"(40.71089545000007, -74.00906233599994)",17.5
"(40.71091206700004, -74.00692696999994)",22.5
"(40.710917489, -73.99202988)",186.0
"(40.710917489000046, -73.99202987999998)",14.1
"(40.710936094, -74.0142637)",22.6
"(40.710991872, -74.00051004)",22.5
"(40.7110067, -73.980555849)",34.9
"(40.71100670000004, -73.98055584899998)",4.5
"(40.711007572, -73.986684224)",91.2
"(40.711027048, -74.010800952)",7.0
"(40.71103689800003, -73.98059191099996)",4.5
